prompt_length_tokens,trial,m4_ttft_ms,m2_ttft_ms,measurement_type,backend,precision,batch_size
32,1,17.194,28.116,measured,MPS,float16,batch=1
32,2,15.657,25.307,measured,MPS,float16,batch=1
32,3,13.383,25.676,measured,MPS,float16,batch=1
32,4,15.446,25.852,measured,MPS,float16,batch=1
32,5,18.715,24.942,measured,MPS,float16,batch=1
64,1,20.179,32.733,measured,MPS,float16,batch=1
64,2,18.341,30.631,measured,MPS,float16,batch=1
64,3,18.471,30.422,measured,MPS,float16,batch=1
64,4,18.896,31.016,measured,MPS,float16,batch=1
64,5,16.24,29.766,measured,MPS,float16,batch=1
128,1,23.517,44.468,measured,MPS,float16,batch=1
128,2,25.63,40.402,measured,MPS,float16,batch=1
128,3,25.943,41.282,measured,MPS,float16,batch=1
128,4,24.905,48.674,measured,MPS,float16,batch=1
128,5,25.497,40.567,measured,MPS,float16,batch=1
256,1,44.458,61.651,measured,MPS,float16,batch=1
256,2,40.622,56.847,measured,MPS,float16,batch=1
256,3,41.203,59.215,measured,MPS,float16,batch=1
256,4,35.268,58.92,measured,MPS,float16,batch=1
256,5,41.305,65.605,measured,MPS,float16,batch=1
512,1,76.679,143.034,measured,MPS,float16,batch=1
512,2,71.704,131.782,measured,MPS,float16,batch=1
512,3,70.102,129.181,measured,MPS,float16,batch=1
512,4,78.093,130.415,measured,MPS,float16,batch=1
512,5,71.753,132.088,measured,MPS,float16,batch=1
1024,1,205.097,336.964,measured,MPS,float16,batch=1
1024,2,192.428,306.014,measured,MPS,float16,batch=1
1024,3,188.167,310.194,measured,MPS,float16,batch=1
1024,4,164.342,267.202,measured,MPS,float16,batch=1
1024,5,192.781,275.68,measured,MPS,float16,batch=1
