context_length_tokens,token_index,m4_ptl_ms,m2_ptl_ms
32,1,19.993,29.804
32,2,17.163,29.241
32,3,17.564,26.538
32,4,17.108,29.594
32,5,19.999,25.689
32,6,19.352,25.922
32,7,19.903,25.654
32,8,20.094,26.282
32,9,17.71,26.932
32,10,19.486,25.875
32,11,17.666,25.909
32,12,19.486,30.22
32,13,17.684,30.152
32,14,17.673,30.358
32,15,20.176,29.417
32,16,19.823,29.79
32,17,19.888,30.197
32,18,24.625,26.467
32,19,20.337,36.543
32,20,19.639,29.665
64,1,20.317,27.281
64,2,17.609,26.457
64,3,17.517,30.682
64,4,20.308,27.086
64,5,24.054,30.242
64,6,22.345,30.033
64,7,19.714,26.576
64,8,20.32,30.314
64,9,20.011,30.869
64,10,17.791,30.014
64,11,17.305,26.839
64,12,17.398,26.648
64,13,17.359,31.126
64,14,20.583,31.134
64,15,17.36,27.074
64,16,18.222,26.599
64,17,19.915,34.047
64,18,23.397,30.708
64,19,20.584,37.981
64,20,20.3,30.362
128,1,25.411,31.481
128,2,18.101,28.09
128,3,25.758,31.112
128,4,20.491,28.213
128,5,18.667,28.294
128,6,21.028,27.493
128,7,21.25,32.101
128,8,18.736,39.577
128,9,21.155,28.13
128,10,20.947,31.563
128,11,20.648,31.936
128,12,20.693,31.832
128,13,20.983,28.38
128,14,18.497,27.976
128,15,21.128,31.806
128,16,18.168,32.357
128,17,18.14,32.792
128,18,18.223,32.392
128,19,18.48,31.622
128,20,21.036,31.671
256,1,23.936,43.914
256,2,20.746,36.334
256,3,21.128,31.813
256,4,21.014,36.61
256,5,23.643,31.583
256,6,23.578,31.579
256,7,23.484,37.271
256,8,23.608,37.396
256,9,21.298,32.26
256,10,23.795,36.736
256,11,20.907,31.832
256,12,21.08,36.639
256,13,24.314,33.244
256,14,20.946,37.267
256,15,24.283,32.582
256,16,24.517,36.595
256,17,24.581,36.308
256,18,24.087,36.551
256,19,21.185,32.067
256,20,21.211,32.662
512,1,29.31,45.926
512,2,25.878,39.532
512,3,30.462,46.777
512,4,29.675,53.189
512,5,25.596,46.67
512,6,30.476,41.738
512,7,35.302,55.485
512,8,29.867,47.53
512,9,29.719,45.697
512,10,29.458,47.085
512,11,30.373,40.156
512,12,25.957,46.595
512,13,30.07,41.045
512,14,29.989,45.925
512,15,26.054,42.282
512,16,26.102,46.478
512,17,34.965,41.154
512,18,26.803,47.771
512,19,37.403,46.306
512,20,38.101,47.572
768,1,40.692,54.142
768,2,35.088,62.856
768,3,34.509,63.497
768,4,34.682,53.189
768,5,34.539,63.623
768,6,39.545,62.023
768,7,34.928,56.18
768,8,40.801,63.325
768,9,41.036,56.009
768,10,39.89,56.334
768,11,36.339,62.071
768,12,41.301,61.459
768,13,39.857,71.126
768,14,36.301,63.949
768,15,41.347,55.499
768,16,40.476,63.38
768,17,35.478,53.893
768,18,35.893,54.999
768,19,36.333,62.77
768,20,36.092,55.577
1024,1,58.786,79.485
1024,2,49.553,78.691
1024,3,44.766,77.415
1024,4,44.688,66.973
1024,5,45.135,69.062
1024,6,44.805,69.733
1024,7,50.379,78.938
1024,8,44.917,76.538
1024,9,44.7,96.98
1024,10,45.801,76.717
1024,11,43.693,78.929
1024,12,45.519,70.646
1024,13,50.633,68.045
1024,14,50.163,76.913
1024,15,50.031,78.87
1024,16,51.479,77.327
1024,17,45.34,80.402
1024,18,51.602,68.749
1024,19,50.276,77.402
1024,20,60.356,80.329
