token_index,m4_latency_ms,m2_latency_ms,m4_cumulative_ms,m2_cumulative_ms,phase
1,25.446,42.738,25.45,42.74,prefill
2,20.775,27.469,46.22,70.21,decode
3,17.871,31.199,64.09,101.41,decode
4,20.743,32.125,84.83,133.53,decode
5,20.812,27.179,105.64,160.71,decode
6,20.62,31.879,126.26,192.59,decode
7,18.789,28.052,145.05,220.64,decode
8,18.116,31.939,163.17,252.58,decode
9,18.478,27.761,181.65,280.34,decode
10,18.405,40.28,200.06,320.62,decode
11,20.608,31.727,220.67,352.35,decode
12,18.498,31.406,239.17,383.76,decode
13,20.752,32.638,259.92,416.4,decode
14,21.039,31.869,280.96,448.27,decode
15,20.677,27.751,301.64,476.02,decode
16,21.021,28.619,322.66,504.64,decode
17,18.16,28.763,340.82,533.4,decode
18,25.103,28.021,365.92,561.42,decode
19,21.003,32.588,386.92,594.01,decode
20,21.469,32.711,408.39,626.72,decode
21,20.861,32.514,429.25,659.23,decode
22,18.69,32.141,447.94,691.37,decode
23,20.852,32.233,468.79,723.6,decode
24,21.662,31.989,490.45,755.59,decode
25,18.684,33.102,509.13,788.69,decode
26,18.746,31.813,527.88,820.5,decode
27,25.143,33.083,553.02,853.58,decode
28,20.995,28.436,574.01,882.02,decode
29,21.769,29.049,595.78,911.07,decode
30,21.012,28.222,616.79,939.29,decode
31,21.748,33.139,638.54,972.43,decode
32,21.509,28.159,660.05,1000.59,decode
33,19.26,33.139,679.31,1033.73,decode
34,21.648,28.975,700.96,1062.7,decode
35,21.942,32.598,722.9,1095.3,decode
36,21.847,29.052,744.75,1124.35,decode
37,19.318,41.559,764.07,1165.91,decode
38,24.87,33.48,788.94,1199.39,decode
39,21.848,32.594,810.79,1231.98,decode
40,19.477,28.595,830.27,1260.58,decode
41,21.997,33.279,852.27,1293.86,decode
42,19.047,28.895,871.32,1322.75,decode
43,25.642,33.205,896.96,1355.95,decode
44,18.757,33.267,915.72,1389.22,decode
45,21.634,29.294,937.35,1418.51,decode
46,18.668,40.508,956.02,1459.02,decode
47,18.688,28.516,974.71,1487.54,decode
48,22.356,33.132,997.07,1520.67,decode
49,21.775,33.465,1018.85,1554.13,decode
50,21.809,33.672,1040.66,1587.8,decode
51,18.968,33.194,1059.63,1620.99,decode
52,26.017,29.01,1085.65,1650.0,decode
53,22.406,33.757,1108.06,1683.76,decode
54,21.617,29.442,1129.68,1713.2,decode
55,22.313,32.915,1151.99,1746.12,decode
56,18.899,33.905,1170.89,1780.02,decode
57,22.491,28.89,1193.38,1808.91,decode
58,19.906,34.484,1213.29,1843.39,decode
59,22.364,33.006,1235.65,1876.4,decode
60,19.749,27.73,1255.4,1904.13,decode
61,19.32,30.321,1274.72,1934.45,decode
62,19.282,33.658,1294.0,1968.11,decode
63,21.827,29.117,1315.83,1997.23,decode
64,19.704,33.609,1335.53,2030.84,decode
65,22.103,39.98,1357.63,2070.82,decode
66,22.324,34.66,1379.95,2105.48,decode
67,19.473,30.516,1399.42,2136.0,decode
68,21.983,29.365,1421.4,2165.36,decode
69,20.097,31.251,1441.5,2196.61,decode
70,19.447,33.956,1460.95,2230.57,decode
71,22.638,29.984,1483.59,2260.55,decode
72,22.093,30.358,1505.68,2290.91,decode
73,22.324,39.609,1528.0,2330.52,decode
74,22.021,34.081,1550.02,2364.6,decode
75,22.908,30.226,1572.93,2394.83,decode
76,22.547,30.919,1595.48,2425.75,decode
77,27.747,33.951,1623.23,2459.7,decode
78,28.881,30.943,1652.11,2490.64,decode
79,22.76,31.08,1674.87,2521.72,decode
80,22.816,43.284,1697.69,2565.0,decode
81,22.137,30.695,1719.83,2595.7,decode
82,22.742,42.033,1742.57,2637.73,decode
83,23.156,31.102,1765.73,2668.83,decode
84,22.271,30.667,1788.0,2699.5,decode
85,22.326,43.634,1810.33,2743.13,decode
86,22.446,31.383,1832.78,2774.51,decode
87,22.649,34.704,1855.43,2809.21,decode
88,20.227,30.084,1875.66,2839.29,decode
89,23.269,34.577,1898.93,2873.87,decode
90,22.449,30.623,1921.38,2904.49,decode
91,22.675,35.36,1944.06,2939.85,decode
92,23.217,31.477,1967.28,2971.33,decode
93,22.571,34.83,1989.85,3006.16,decode
94,20.143,40.928,2009.99,3047.09,decode
95,21.687,37.337,2031.68,3084.43,decode
96,22.503,34.941,2054.18,3119.37,decode
97,26.944,35.857,2081.12,3155.23,decode
98,23.073,35.998,2104.19,3191.23,decode
99,22.913,34.703,2127.1,3225.93,decode
100,22.619,30.954,2149.72,3256.88,decode
