prompt_length_tokens,precision,model_size_gb,bytes_per_element,m4_ptl_ms,m4_throughput_tok_s,m4_speedup_vs_f16,m4_bw_util_pct,m2_ptl_ms,m2_throughput_tok_s,m2_speedup_vs_f16,m2_bw_util_pct,measurement_type
32,F16,2.2,2.0,22.171,45.1,1.000,82.7,33.433,29.91,1.000,65.8,measured
32,Q8_0,1.1,1.0,14.913,67.06,1.486,61.5,23.995,41.68,1.393,45.8,derived_from_bandwidth_scaling_model
32,Q4_K_M,0.55,0.5,11.38,87.87,1.948,40.3,15.882,62.96,2.106,34.6,derived_from_bandwidth_scaling_model
128,F16,2.2,2.0,22.847,43.77,1.000,79.9,33.521,29.83,1.000,65.6,measured
128,Q8_0,1.1,1.0,14.981,66.75,1.525,61.2,22.614,44.22,1.483,48.8,derived_from_bandwidth_scaling_model
128,Q4_K_M,0.55,0.5,10.203,98.01,2.239,44.7,15.107,66.19,2.219,36.3,derived_from_bandwidth_scaling_model
256,F16,2.2,2.0,24.831,40.27,1.000,73.9,37.024,27.01,1.000,59.5,measured
256,Q8_0,1.1,1.0,16.421,60.90,1.512,55.9,26.202,38.17,1.413,42.0,derived_from_bandwidth_scaling_model
256,Q4_K_M,0.55,0.5,11.184,89.42,2.220,41.0,17.468,57.25,2.120,31.5,derived_from_bandwidth_scaling_model
512,F16,2.2,2.0,29.614,33.77,1.000,61.9,50.337,19.87,1.000,43.7,measured
512,Q8_0,1.1,1.0,20.891,47.87,1.418,44.0,34.729,28.79,1.449,31.9,derived_from_bandwidth_scaling_model
512,Q4_K_M,0.55,0.5,12.847,77.84,2.305,35.7,25.663,38.96,1.961,21.4,derived_from_bandwidth_scaling_model
