context_length_tokens,data_source,tiny_kv_f16_gb,tiny_total_f16_gb,tiny_kv_q8_gb,tiny_total_q8_gb,tiny_kv_q4_gb,tiny_total_q4_gb,llama1b_kv_f16_gb,llama1b_total_f16_gb,llama1b_kv_q4_gb,llama1b_total_q4_gb,m2_8gb_ram_pressure_f16,m2_8gb_ram_pressure_q4,m4_16gb_ram_pressure_f16
64,analytical,0.001442,2.2014,0.000721,2.2007,0.00036,2.2004,0.002097,2.0021,0.000524,2.0005,0,0,0
128,analytical,0.002884,2.2029,0.001442,2.2014,0.000721,2.2007,0.004194,2.0042,0.001049,2.001,0,0,0
192,analytical,0.004325,2.2043,0.002163,2.2022,0.001081,2.2011,0.006291,2.0063,0.001573,2.0016,0,0,0
256,analytical,0.005767,2.2058,0.002884,2.2029,0.001442,2.2014,0.008389,2.0084,0.002097,2.0021,0,0,0
320,analytical,0.007209,2.2072,0.003604,2.2036,0.001802,2.2018,0.010486,2.0105,0.002621,2.0026,0,0,0
384,analytical,0.008651,2.2087,0.004325,2.2043,0.002163,2.2022,0.012583,2.0126,0.003146,2.0031,0,0,0
448,analytical,0.010093,2.2101,0.005046,2.205,0.002523,2.2025,0.01468,2.0147,0.00367,2.0037,0,0,0
512,analytical,0.011534,2.2115,0.005767,2.2058,0.002884,2.2029,0.016777,2.0168,0.004194,2.0042,0,0,0
576,analytical,0.012976,2.213,0.006488,2.2065,0.003244,2.2032,0.018874,2.0189,0.004719,2.0047,0,0,0
640,analytical,0.014418,2.2144,0.007209,2.2072,0.003604,2.2036,0.020972,2.021,0.005243,2.0052,0,0,0
704,analytical,0.01586,2.2159,0.00793,2.2079,0.003965,2.204,0.023069,2.0231,0.005767,2.0058,0,0,0
768,analytical,0.017302,2.2173,0.008651,2.2087,0.004325,2.2043,0.025166,2.0252,0.006291,2.0063,0,0,0
832,analytical,0.018743,2.2187,0.009372,2.2094,0.004686,2.2047,0.027263,2.0273,0.006816,2.0068,0,0,0
896,analytical,0.020185,2.2202,0.010093,2.2101,0.005046,2.205,0.02936,2.0294,0.00734,2.0073,0,0,0
960,analytical,0.021627,2.2216,0.010813,2.2108,0.005407,2.2054,0.031457,2.0315,0.007864,2.0079,0,0,0
1024,analytical,0.023069,2.2231,0.011534,2.2115,0.005767,2.2058,0.033554,2.0336,0.008389,2.0084,0,0,0
1088,analytical,0.02451,2.2245,0.012255,2.2123,0.006128,2.2061,0.035652,2.0357,0.008913,2.0089,0,0,0
1152,analytical,0.025952,2.226,0.012976,2.213,0.006488,2.2065,0.037749,2.0377,0.009437,2.0094,0,0,0
1216,analytical,0.027394,2.2274,0.013697,2.2137,0.006849,2.2068,0.039846,2.0398,0.009961,2.01,0,0,0
1280,analytical,0.028836,2.2288,0.014418,2.2144,0.007209,2.2072,0.041943,2.0419,0.010486,2.0105,0,0,0
1344,analytical,0.030278,2.2303,0.015139,2.2151,0.007569,2.2076,0.04404,2.044,0.01101,2.011,0,0,0
1408,analytical,0.031719,2.2317,0.01586,2.2159,0.00793,2.2079,0.046137,2.0461,0.011534,2.0115,0,0,0
1472,analytical,0.033161,2.2332,0.016581,2.2166,0.00829,2.2083,0.048234,2.0482,0.012059,2.0121,0,0,0
1536,analytical,0.034603,2.2346,0.017302,2.2173,0.008651,2.2087,0.050332,2.0503,0.012583,2.0126,0,0,0
1600,analytical,0.036045,2.236,0.018022,2.218,0.009011,2.209,0.052429,2.0524,0.013107,2.0131,0,0,0
1664,analytical,0.037487,2.2375,0.018743,2.2187,0.009372,2.2094,0.054526,2.0545,0.013631,2.0136,0,0,0
1728,analytical,0.038928,2.2389,0.019464,2.2195,0.009732,2.2097,0.056623,2.0566,0.014156,2.0142,0,0,0
1792,analytical,0.04037,2.2404,0.020185,2.2202,0.010093,2.2101,0.05872,2.0587,0.01468,2.0147,0,0,0
1856,analytical,0.041812,2.2418,0.020906,2.2209,0.010453,2.2105,0.060817,2.0608,0.015204,2.0152,0,0,0
1920,analytical,0.043254,2.2433,0.021627,2.2216,0.010813,2.2108,0.062915,2.0629,0.015729,2.0157,0,0,0
1984,analytical,0.044696,2.2447,0.022348,2.2223,0.011174,2.2112,0.065012,2.065,0.016253,2.0163,0,0,0
2048,analytical,0.046137,2.2461,0.023069,2.2231,0.011534,2.2115,0.067109,2.0671,0.016777,2.0168,0,0,0
