run_index,run_type,m4_ttft_ms,m4_e2e_ms,m2_ttft_ms,m2_e2e_ms,m4_model_load_ms,m2_model_load_ms
0,cold,75.04,856.15,127.59,1281.42,3619.3,4304.7
1,warm,28.99,660.25,46.08,1005.99,,
2,warm,25.29,648.84,46.73,989.57,,
3,warm,21.87,632.49,36.97,847.66,,
4,warm,24.96,566.19,35.53,977.92,,
5,warm,25.73,638.81,36.8,965.09,,
6,warm,22.14,636.39,41.78,971.09,,
7,warm,25.9,558.04,35.74,975.13,,
8,warm,24.93,652.62,42.0,890.13,,
9,warm,25.12,658.06,36.81,983.22,,
10,warm,25.58,651.44,40.3,987.62,,
