precision,prompt_length,ptl_ms,throughput_tok_s,speedup_vs_f16,f16_ptl_ms,device,device_name,model,precision_label,measurement_type
F16,32,18.99,51.81,1.0,19.3,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,float16,measured
Q8_0,32,16.08,62.19,1.2,19.3,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q8_0,modeled
Q4_K_M,32,10.16,98.43,1.9,19.3,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q4_K_M,modeled
F16,128,21.62,49.02,1.0,20.4,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,float16,measured
Q8_0,128,15.69,63.73,1.3,20.4,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q8_0,modeled
Q4_K_M,128,9.71,102.99,2.1,20.4,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q4_K_M,modeled
F16,256,23.9,44.05,1.0,22.7,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,float16,measured
Q8_0,256,16.45,60.79,1.38,22.7,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q8_0,modeled
Q4_K_M,256,10.32,96.9,2.2,22.7,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q4_K_M,modeled
F16,512,31.1,33.22,1.0,30.1,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,float16,measured
Q8_0,512,21.2,47.17,1.42,30.1,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q8_0,modeled
Q4_K_M,512,13.03,76.75,2.31,30.1,mps,Mac_M4_16GB,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Q4_K_M,modeled
