device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,1,19.48,17.3,57.8,18.45,22.95,2.12,31.8,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,2,19.26,17.48,57.21,18.54,22.92,2.12,31.5,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,3,19.18,18.0,55.56,18.66,23.06,2.12,30.6,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,4,18.61,17.68,56.56,18.2,23.18,2.12,31.1,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,5,19.42,17.66,56.63,18.31,23.0,2.12,31.2,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,1,28.79,17.53,57.05,18.37,23.7,2.12,31.4,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,2,29.31,17.51,57.11,18.25,22.89,2.12,31.4,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,3,29.4,17.46,57.27,18.47,23.1,2.12,31.5,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,4,27.92,17.81,56.15,18.61,23.53,2.12,30.9,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,5,28.61,17.72,56.43,18.5,22.99,2.12,31.0,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,1,41.73,17.67,56.59,18.36,22.89,2.12,31.1,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,2,41.89,17.97,55.65,18.34,22.84,2.12,30.6,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,3,43.64,17.25,57.97,18.48,23.35,2.12,31.9,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,4,43.54,17.56,56.95,18.43,23.55,2.12,31.3,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,5,42.15,17.73,56.4,18.33,23.08,2.12,31.0,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,1,73.02,17.8,56.18,18.63,23.08,2.12,30.9,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,2,66.47,18.12,55.19,18.34,23.14,2.12,30.4,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,3,71.36,18.02,55.49,18.4,22.89,2.12,30.5,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,4,73.66,17.48,57.21,18.57,23.5,2.12,31.5,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,5,69.87,17.74,56.37,18.49,23.04,2.12,31.0,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,1,186.98,17.69,56.53,18.31,22.75,2.12,31.1,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,2,181.38,17.66,56.63,18.49,23.34,2.12,31.2,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,3,179.56,17.49,57.18,18.46,23.13,2.12,31.5,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,4,181.59,17.74,56.37,18.12,23.64,2.12,31.0,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,5,189.16,17.66,56.63,18.4,23.2,2.12,31.2,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,1,19.11,16.6,60.24,17.44,21.72,2.12,33.2,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,2,18.53,16.77,59.63,17.57,21.85,2.12,32.8,modeled,2026-05-09T23:05:38
M2,Q4_K_M,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,3,19.24,16.63,60.13,17.63,21.81,2.12,33.1,modeled,2026-05-09T23:05:38
