device,precision,backend,model,prompt_tokens,context_tokens,n_gen_tokens,trial,ttft_ms,ptl_ms,throughput_tok_s,ptl_p90_ms,ptl_p99_ms,model_load_s,bw_util_pct,measurement_type,timestamp
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,1,14.69,16.27,61.46,17.4,22.13,2.58,56.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,2,14.7,16.79,59.56,17.33,22.15,2.58,54.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,3,14.71,16.64,60.1,17.21,21.72,2.58,55.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,4,13.84,16.58,60.31,17.2,22.18,2.58,55.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,32,50,5,14.49,16.94,59.03,17.33,22.04,2.58,54.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,1,21.32,16.27,61.46,17.07,21.59,2.58,56.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,2,21.9,16.76,59.67,17.28,22.07,2.58,54.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,3,22.52,16.89,59.21,17.12,21.95,2.58,54.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,4,21.22,16.42,60.9,17.3,22.44,2.58,55.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,32,50,5,21.77,16.57,60.35,17.36,21.27,2.58,55.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,1,33.57,16.63,60.13,17.13,22.5,2.58,55.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,2,33.27,16.86,59.31,17.19,21.92,2.58,54.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,3,32.5,16.42,60.9,17.39,22.38,2.58,55.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,4,32.66,16.81,59.49,17.49,22.7,2.58,54.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,32,50,5,32.8,16.63,60.13,17.09,22.18,2.58,55.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,1,58.16,16.3,61.35,17.35,21.55,2.58,56.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,2,60.21,17.17,58.24,17.03,21.58,2.58,53.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,3,56.88,16.49,60.64,17.17,21.19,2.58,55.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,4,60.51,16.51,60.57,17.05,21.95,2.58,55.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,32,50,5,59.02,16.13,62.0,17.17,22.69,2.58,56.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,1,141.59,16.64,60.1,17.28,21.88,2.58,55.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,2,143.71,16.18,61.8,17.18,22.1,2.58,56.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,3,141.16,16.69,59.92,17.26,22.62,2.58,54.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,4,148.21,16.24,61.58,17.17,21.79,2.58,56.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,32,50,5,143.24,17.3,57.8,17.39,22.32,2.58,53.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,1,14.48,15.01,66.62,16.0,20.18,2.58,61.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,2,14.47,14.99,66.71,16.14,20.71,2.58,61.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,3,14.18,15.4,64.94,15.94,20.42,2.58,59.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,4,14.37,15.19,65.83,16.07,20.31,2.58,60.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,128,50,5,14.2,15.42,64.85,16.07,20.75,2.58,59.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,1,22.23,15.53,64.39,15.86,20.47,2.58,59.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,2,22.32,15.56,64.27,15.86,20.64,2.58,59.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,3,21.92,15.82,63.21,16.06,20.73,2.58,58.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,4,22.33,15.55,64.31,16.08,20.64,2.58,59.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,128,50,5,21.92,15.26,65.53,16.23,20.53,2.58,60.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,1,33.1,15.43,64.81,16.17,20.33,2.58,59.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,2,32.77,15.73,63.57,15.93,20.65,2.58,58.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,3,33.68,15.52,64.43,16.21,20.46,2.58,59.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,4,32.79,15.6,64.1,16.23,20.78,2.58,58.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,128,50,5,33.6,15.63,63.98,15.97,20.49,2.58,58.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,1,58.18,15.62,64.02,16.08,20.17,2.58,58.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,2,57.32,15.53,64.39,15.93,20.54,2.58,59.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,3,59.1,14.96,66.84,16.18,20.57,2.58,61.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,4,56.99,15.2,65.79,16.05,19.84,2.58,60.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,128,50,5,59.06,15.53,64.39,16.03,20.44,2.58,59.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,1,143.86,15.53,64.39,16.21,20.6,2.58,59.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,2,141.31,15.29,65.4,16.09,21.07,2.58,60.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,3,139.45,15.39,64.98,15.96,19.94,2.58,59.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,4,138.48,15.57,64.23,15.91,19.98,2.58,58.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,128,50,5,144.54,15.17,65.92,15.9,20.05,2.58,60.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,1,14.33,16.33,61.24,16.96,21.89,2.58,56.3,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,2,14.03,16.28,61.43,16.88,21.81,2.58,56.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,3,13.98,16.11,62.07,17.05,21.52,2.58,57.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,4,14.44,16.16,61.88,17.04,21.74,2.58,56.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,256,50,5,14.66,16.18,61.8,17.19,22.1,2.58,56.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,1,21.46,16.48,60.68,17.4,21.26,2.58,55.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,2,21.67,16.17,61.84,17.12,21.79,2.58,56.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,3,22.13,15.86,63.05,16.97,21.55,2.58,57.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,4,21.65,15.92,62.81,16.84,21.66,2.58,57.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,256,50,5,22.36,16.13,62.0,16.77,21.09,2.58,57.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,1,34.45,16.06,62.27,16.82,22.41,2.58,57.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,2,32.6,16.42,60.9,16.78,21.73,2.58,56.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,3,35.21,15.93,62.77,16.76,21.87,2.58,57.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,4,33.38,16.71,59.84,16.76,21.56,2.58,55.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,256,50,5,34.11,16.39,61.01,16.91,21.2,2.58,56.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,1,57.34,16.29,61.39,16.6,21.42,2.58,56.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,2,58.96,15.86,63.05,17.16,22.25,2.58,57.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,3,57.61,16.11,62.07,16.99,22.0,2.58,57.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,4,58.02,16.16,61.88,17.2,21.62,2.58,56.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,256,50,5,58.36,16.14,61.96,16.98,21.32,2.58,56.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,1,139.09,16.21,61.69,16.86,22.26,2.58,56.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,2,142.47,16.5,60.61,16.77,21.55,2.58,55.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,3,140.99,16.59,60.28,17.09,21.2,2.58,55.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,4,148.23,16.19,61.77,16.63,22.04,2.58,56.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,1024,256,50,5,142.48,15.74,63.53,16.87,21.92,2.58,58.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,1,13.83,19.3,51.81,21.14,27.23,2.58,47.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,2,14.37,20.13,49.68,21.04,27.05,2.58,45.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,3,14.52,20.15,49.63,21.34,27.8,2.58,45.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,4,14.34,20.22,49.46,21.25,27.09,2.58,45.6,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,32,512,50,5,13.94,20.44,48.92,21.3,26.84,2.58,45.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,1,21.24,20.11,49.73,21.44,27.16,2.58,45.8,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,2,22.14,20.88,47.89,20.95,26.77,2.58,44.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,3,21.63,20.74,48.22,21.05,27.14,2.58,44.4,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,4,21.52,20.4,49.02,21.18,27.02,2.58,45.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,128,512,50,5,22.25,19.51,51.26,21.1,27.75,2.58,47.2,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,1,32.3,20.04,49.9,21.44,26.57,2.58,46.0,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,2,33.9,20.23,49.43,21.18,26.54,2.58,45.5,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,3,33.32,20.53,48.71,21.46,27.45,2.58,44.9,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,4,32.25,21.58,46.34,21.23,26.78,2.58,42.7,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,256,512,50,5,34.07,20.89,47.87,21.37,26.9,2.58,44.1,modeled,2026-05-09T23:05:38
M4,Q8_0,llama.cpp-MPS,TinyLlama-1.1B-Chat-v1.0,512,512,50,1,55.61,20.19,49.53,21.53,27.42,2.58,45.6,modeled,2026-05-09T23:05:38
